,Season,Statistic,Value,Source,Region
0,Winter,mean,5.2140527,MOM6,GOM
1,Winter,std,1.9063363075256348,MOM6,GOM
2,Spring,mean,5.662204,MOM6,GOM
3,Spring,std,1.386489748954773,MOM6,GOM
4,Summer,mean,8.39775,MOM6,GOM
5,Summer,std,1.7319555282592773,MOM6,GOM
6,Fall,mean,9.585541,MOM6,GOM
7,Fall,std,1.4843602180480957,MOM6,GOM
0,Winter,mean,5.038409,ROMS+GLORYS,GOM
1,Winter,std,1.8202613592147827,ROMS+GLORYS,GOM
2,Spring,mean,4.7507753,ROMS+GLORYS,GOM
3,Spring,std,1.2712095975875854,ROMS+GLORYS,GOM
4,Summer,mean,6.6487637,ROMS+GLORYS,GOM
5,Summer,std,1.541231393814087,ROMS+GLORYS,GOM
6,Fall,mean,8.326359,ROMS+GLORYS,GOM
7,Fall,std,1.3370440006256104,ROMS+GLORYS,GOM
0,Winter,mean,5.819721,GLORYS,GOM
1,Winter,std,1.7927446365356445,GLORYS,GOM
2,Spring,mean,5.200931,GLORYS,GOM
3,Spring,std,1.3436683416366577,GLORYS,GOM
4,Summer,mean,6.824098,GLORYS,GOM
5,Summer,std,1.5035209655761719,GLORYS,GOM
6,Fall,mean,8.408168,GLORYS,GOM
7,Fall,std,1.407884955406189,GLORYS,GOM
